P1 P2 P3 P4 P5 P6 C1
True False True False True True True2
True False False False False True True2
True False True2 False True False True2
True False True2 True True False True
False False False True False True True3
False False True False False False True2
False False True2 False True True True2
True False False False False False True2
False False False True False True True
False False True2 False False True True2
False False True2 False True False True3
False True True2 True True True True2
False False True2 False True True True2
False False True True False True True2
False False True False False True True2
False True False False True True True
True False True True True True True2
False False True True False True True2
False False True False False False True2
True True False False False False True2
False False True False True True True2
False True True2 True False True True2
False False True True False False True2
False False False True False True True3
False False False True False False True3
True False True2 False False False True3
False False False False False False True3
False False True False False True True2
False False True2 False False True True2
True True True False False True True2
False False True False False True True2
False True False False False False True
True True True2 True True True True2
False False False False False True True2
False False False True False False True2
False False True True False False True2
False False True2 False False False True3
False False True True False True True3
False False False False False True True2
True False True2 False False True True2
False True True False False True True2
True False False False False False True
False False True False False True True2
True False True2 True True False True2
True False False False True True True2
True False True False True True True2
True False False True False True True3
False True True2 False False True True2
True False False True False False True2
False False False False True True True
True True True2 True True False True2
False False True2 False False True True2
False True True True False True True2
False False True2 True False False True3
False False False False False True True2
False False False False False True True2
False True True True False False True3
False False False False False False True
True True True True False True True2
False False False True True True True
False False False False False True True
True False True False True False True
True True False False False True True3
True True False False False True True2
False False True2 True False False True3
False False True False False True True2
False False True False True True True2
False False False False False True True2
True False False True False True True
False False True True False True True2
True False True2 True False False True3
False False True2 True False True True2
False False True True False True True
False False False False False True True
True False False True False True True2
False True True2 True False False True3
False False True2 True False False True3
False False True2 True False True True2
False False False True False False True3
False False True True False False True3
False False True2 True True True True
True False True2 True False True True2
True False True2 False False False True3
False False True2 True False True True2
False True True True False False True2
False False True2 True False True True2
False False False False True True True
False True False True True False True2
True False True2 False False False True3
False False True2 True False True True3
True False True2 True False False True3
True False True False False True True2
False False True2 False True True True2
True False True2 True False True True2
True False False False True True True
False True True True False True True3
False False False False False True True
False False True False False True True2
False False True2 False False True True3
False True False True False True True
False False False True False True True2
False False False False True False True
False False False True False False True3
True True False True False True True2
True False True2 True True True True2
False False False False False True True2
False False False True False True True2
True False False True True True True2
False False False False False True True2
False False True2 False False True True2
True False True False True False True3
False True False True False True True2
False False True True True True True
False False False False False False True
False False True False False True True2
False True True True False True True2
False False True False True True True2
False False True True False True True2
True False True True False False True3
False False False False False False True
True True False False False False True
True False False False False False True3
True False False False False False True2
True False True2 True True True True2
False True True2 False False True True2
True False True2 False False True True2
False False False False False False True3
True True True2 True True True True2
False False True2 False False True True2
False False False True False False True
False False True2 False False False True3
False True True True False True True2
False False True2 True True True True2
False False True2 False True True True2
False False True2 True True True True
True False False False True True True2
False False False True False False True2
False False False False False False True2
False True False True True True True
False False False True True True True
False False True False False False True3
False False False False False True True
False False True True False False True2
True False False True False True True2
True False True2 True True False True3
True False True False False True True2
False False True False False True True2
False False True True False True True2
False False False False False False True2
False False True2 False False True True2
True False True True True True True2
False False True True True True True2
False False True2 False False True True2
False False True2 False True True True2
True False True2 False False False True2
False False False True False False True
True False True True True True True2
True False False False False True True
True False True2 True False True True2
True False True2 False False False True3
True False True True True False True2
False False False True False True True2
False False True2 False False True True2
False False True False False True True2
False False True2 True True True True3
False False True True False True True2
False False False True True False True2
True True True True False True True2
False False True False True True True2
False False False False False True True2
True False True2 True True True True2
False False True False True False True2
False False False True False True True2
True False True2 True True False True2
False False True2 False False False True3
False True True True False False True2
False False True2 False False True True2
False True True2 False False True True2
False False False True False True True
True False False False False True True2
False False True False True True True2
True True True2 True False True True
True True True True False False True2
False True True2 True False False True3
False False True False False False True
False False False True False False True
False False False False True True True2
True False True False True True True2
True False True2 False False True True2
False True True2 True False False True3
False False True True False True True2
True False True False False False True2
False False True False True True True2
False False False True True True True
True False True True True True True2
False True True2 True False False True2
True False False False False True True2
False False False True False True True
True False False True False True True2
False False False False False True True2
False True False True False True True2
True True True2 False False False True3
True True True2 False True False True2
False True True False False False True3
False False True2 False True False True2
True True True2 False False False True3
False False True2 True False True True2
False True False False False False True
False False True2 True False True True3
False False True False False True True2
True True True2 False False False True3
True False True True False True True2
False False True2 True False False True3
True True True2 False False False True2
False True True True True True True2
False True False True False True True2
False False False True False True True2
False False False False False False True
False False True True True False True2
False False False True False True True2
False True True True True True True2
False False False False True True True
True False True True False True True2
True False False False False True True
False False False False True False True
True True True False False True True2
False False False True False True True2
False False True True False True True2
True False True2 False False False True3
True True True False True False True2
True True True2 True False False True2
True False False True True False True2
False True True2 False False True True2
True True True False False True True2
True True True2 True True False True
False False True True False True True2
False False False True False True True2
True True False True False True True2
False True False True False False True
True False True2 False False True True2
False False True2 True False True True3
True True False False False True True
False True True2 False False True True2
False False True2 False False True True2
False True True2 False False False True3
True False False False False False True3
True False False True False False True
False False True True True False True2
False False True True False True True2
False False True2 False False False True3
True True True2 True True False True
False False True False False True True2
True False True True False True True3
False False False True False True True
False False True True False False True3
True True True2 True True False True2
True False False False False False True
False False True True True True True
True True True True False False True2
True False False False True False True
False True True2 True False False True3
True False True True True True True
True False True False True True True2
False False True2 True False False True3
False False False True False True True3
True False True2 True False False True3
True False False False False False True2
False False True True True False True2
True False True False True False True2
False False False True False True True2
True False True2 False True True True2
False False True False False True True
False False True2 True False False True3
False False False True False False True
False True False False False False True3
True False False False False True True2
True True True True False True True2
False True True2 True False False True3
False False False False False True True2
False False True False False True True3
False False False True False True True3
False False True True False False True2
False False True2 True True True True2
False False True2 True False False True3
False True False True False True True2
False False False True False True True2
True False True False False False True3
False False False True False True True
True False False False False False True
False False False True True True True3
True False True2 True True True True2
False False True False True True True
False False False False True True True
False False True True False True True2
True False True2 True False True True2
False True True False False True True2
True False True2 True False True True3
False True True2 False False True True2
True False False True True True True2
False False True2 True False False True3
False True False True False True True2
True True True True False True True2
False True True False False True True
False False False False False False True
False True False True False True True2
False True False False False True True2
True False False False False False True2
True False False True False True True2
False True False True False True True
False True True2 True False True True2
False True False False False True True2
False False True2 True False True True2
False False True2 True True True True2
True False True False False True True
True False True2 False True False True2
False False False True False True True
False True True2 False False True True2
False False False False False True True2
False False False True False False True2
False False True2 True True True True2
False False True2 False False False True2
False False False True False True True2
False False False True True True True2
False False True2 False False True True2
False True True True True False True2
False False True False True True True2
False False False True False True True
True False False True True True True2
False False False False False True True2
False True False False False False True2
False False False True False True True
False False True2 False False True True2
False False True2 True False False True3
False False True True False True True2
False False True True False True True2
False False True True True False True2
False False True2 False True False True2
False False True False False True True2
False False True True False True True2
False True False False False False True2
False False True2 True False False True3
True False True2 True False True True2
True False False False True False True2
True True False True False False True2
False False False True False True True
False True False False False True True2
True True True2 False False False True2
False False True False False True True2
False False False True False True True2
False True True2 True False True True2
True False False True False True True
False False False True False True True2
True False True True True False True2
False False True2 False False True True2
False True False False False True True
False False False False True False True
True True False False False False True3
False False True True False True True2
False False True True False True True2
False True True2 True True False True2
False False True2 True False True True2
True False True2 False False False True3
False False False True False True True
False False True2 False True True True2
False False True2 False False False True3
False False True2 True True False True3
False False True False False True True2
True False False False True False True3
False False False False False True True2
False False True2 False False True True2
False False True2 False False False True3
False False True False False False True2
False True True True True True True2
False False True True True True True2
False True False False True True True
False True True2 True False False True3
True True False False False True True
False False True2 True False True True2
True False False True False True True2
False True True2 False False False True2
True False True2 True True False True2
False False False True True True True
False False True2 True False True True2
False False True2 False False True True2
True True True2 True True True True2
True False False False False True True2
True False True2 False False True True2
True False True True False False True2
False False True True True True True2
True True False False False True True2
False True False False True False True2
False False False False False True True2
False True True True True False True2
True False True2 False True True True2
True False False True True True True2
True False True False False True True
False False True2 True False True True2
False False True2 False True False True2
False False True2 True True True True2
True True False False False True True
True False False True True True True
False False False True False True True2
True False True True False False True3
True False True2 True True True True2
True True True False False True True2
False False True True True False True2
True False True2 True True False True2
True False False True True False True2
True False True2 False True True True2
False False False True False True True2
False False True True True True True2
False False True2 False True True True2
False False False True False False True3
False False False True True True True
False False False True False True True2
False False False False True False True2
True False True False False True True3
False False False False False True True3
False False True True True False True3
False True False False False True True
True True True True True True True
True True True True False True True2
True False True2 True False True True2
True False True True True True True
False False True2 False False False True3
False False True True False True True2
False False True True False True True2
False False False False False True True2
False False True False False True True2
False False True True False True True2
True False True2 True False True True2
True False True2 False False True True2
True False True2 True True True True2
True True True False False False True3
True False True False False True True2
False True False True False True True2
False False True2 False False True True2
False False True True True True True2
True True True False False False True2
False False False False False True True
False False True False False False True2
False False True False False True True2
True False False True False False True
True False False False False False True3
False False False True False True True2
True False True True True True True2
False False False True False True True
False True True True False True True2
False False False True False True True
True False True2 False False True True2
True True True2 False False True True2
True True False False False True True
False True True2 True True False True2
False False False False False False True
False True True2 False False True True2
False False True False False True True3
True True False True False True True
False False True True False True True2
False False True False False False True3
True False True True True False True2
False True True2 False False True True2
False False False False False False True3
False True False False False True True
True False True True False True True2
False False True2 False True True True2
False False True True False False True3
False True False False False True True3
True True True2 True False True True2
False False True False False True True2
False False True False False True True2
False False False True True False True2
False False True False False False True3
False True True True True True True2
False True True2 True False False True2
True True False False True True True
True False True2 False False True True2
True True True2 True False False True2
False False True2 False True True True
False True False True True True True2
False False True False False True True2
False False False True False False True3
True False True2 True True False True2
False True False False False False True2
True False False True False False True3
False True True2 True False True True2
False True False False False False True
True False True True True True True
False False False False False True True2
False False True2 True False True True2
True False False True False False True
False False False True False True True
False False False True False True True
True False False True False True True
False False False False True True True
False False False False True True True2
False True True2 True False True True2
False True False True True False True
False True False False False True True2
False True True2 False False True True2
True True False True False True True2
False False False False False True True2
True True True2 True False True True2
True False True True False False True2
True False False False False True True2
False False False False False True True3
False False False True True True True2
False True True True False True True2
False False True False False False True2
True False True2 False True False True3
False False True True False True True2
False True True True False False True2
False False True True False True True2
False False True False False True True2
False True False False False False True2
False False True2 True False False True2
True False True True True True True2
False False True2 False True False True3
False False False False True False True2
False False False True False False True3
True False False True True True True
False False True True False True True2
False False True True False True True3
False False True True False True True2
False False True False False True True2
False False False False False True True3
False True False True False True True2
True False True True False True True3
False False False True False False True3
False False True True True True True2
False False False False False True True2
False False True True False False True2
False False False False False False True
False False True2 False True True True2
False True True2 False False True True3
False False False True False True True2
False False True True False True True2
False False True2 False False True True2
False False True True True True True2
True False False False False False True
True False True2 True True True True
False False True False True False True3
False False True False False True True2
False True False True False False True2
False False False True True False True
False False True2 True False True True2
False False True True True False True2
False False False False True True True2
False False True2 True True True True2
False False True False False False True3
False False True False True True True2
True False False True True True True
False False False False False True True3
False False True True False True True3
False False True2 False False True True2
False False True False False False True2
True False False True False True True2
False False False False False True True2
True False True2 False True False True2
False False True False False True True3
False False True True False False True2
False True True False False False True2
False True False True False True True2
False True True False False True True2
False False False True True True True2
False False True False False True True2
False False True False False False True3
False False True2 True True True True2
True False False False True False True2
False False True2 True True True True2
True False False False True True True2
False False False False False False True3
False False True True False False True
False False True False False True True2
True False False True False True True2
False False True False True False True2
True True True True True False True2
False False True True False True True2
False False False False False True True2
True False True2 True False True True2
True False True2 True True True True2
False False False False False True True2
False False True True False True True2
False False True True True True True2
False True True True True False True2
False False False True True True True2
False False True False True False True2
True True True False True False True2
False False False False False False True
True False True True False False True2
False False True False True True True2
False False True False False True True2
True False True2 False False False True2
False False True2 False True True True2
False False True False False True True2
False True True False False False True3
False True False True False False True2
False True True True False True True2
True True True2 False False True True2
False False True True False True True2
True False True False False False True3
False False True2 True False True True2
False False False True False True True2
True False True True True True True2
False False False False False True True2
False False False False False True True
False True True False False True True2
True True True False False True True2
False False True2 True True True True2
True False False False True True True2
False False True False True True True2
False False True False True True True2
True False False True False True True2
False True True2 False False False True3
False True True False False False True2
True True True True False False True2
False False True2 False False False True3
True False True2 True True True True2
False False False True False True True2
False False True2 True False True True2
False False False False True False True2
False False False True True False True
False False False True False False True
False False False True True True True2
False False True2 False False True True2
False False False False True True True2
False True False True False True True2
False False True True True True True2
True True False True False True True
False False False False False False True
False False False False False False True
False False False True False True True2
False False True True True False True3
False True False True False False True2
False False False True False False True
True False True True False True True2
False False False True False True True
True True True2 False False False True3
False False True2 True True True True2
True False False True True True True2
False False True2 True False True True2
False False True2 False True False True2
False False True2 True False True True2
False False False False False False True
True False False True False True True2
False True False True False False True2
False False False False False True True2
False False True True False False True2
True False True2 True False True True2
True False True True False True True2
True False True2 True False False True3
False False True2 False True False True2
True False False True False True True2
True False True False True True True
False True True2 True False False True2
False False False True False True True
False False False True False True True2
False False False True True True True
False False False False False True True
True False True2 True False True True2
False False False True False True True2
True False True True True True True2
False False True2 True True True True2
True False True False False True True2
False True True False False True True2
False True False True False True True2
False True False True False False True
True False False True True True True2
True False True2 True True True True2
False False False True False True True2
True True False False True True True2
False False True2 False False False True3
True False True False False False True2
False True True False True True True2
False False False True True True True
False True True True True True True
False False True2 False True False True2
True False True True True False True3
False False True True False True True
False False True2 True True True True2
False False True2 False False True True2
False False False True False True True2
False False True True False True True2
True False True True True False True3
False False True False False True True2
True True False False False True True2
False False True2 True False True True2
True False True False True True True2
True False False True False False True2
True False True False False False True3
False True True2 False False False True3
False False True2 False False True True3
True False False True False True True
True False True2 False True True True2
True True False True False True True
False False False False False True True2
False True False False False True True2
False False True2 True False True True2
False False True2 False True True True
False False True2 False False True True2
True False False True False True True2
False False True2 True False False True3
False True True True False True True2
False False True False False True True2
False False True2 True True False True2
False False False True False False True3
False False False True True False True
True False False False True True True2
False False True2 False False False True3
False False True False True True True2
False False True2 True True False True3
False False False False False True True
False False True False False False True2
True False True False True False True2
False False True2 True False False True3
False False True True False True True2
False False True False True True True2
False False True True True True True
True False True2 True False True True2
True False True2 True False True True2
False False True2 False True True True2
False False False False False False True2
False False False True False False True2
False False True True False True True2
False True False False False True True
False False True2 False True True True2
False False True True False False True2
False False False True False True True
True False False True True False True2
False False False True False True True2
False False False False True False True
True False True True False True True2
False True True False True False True3
True True False False True True True2
True False True False True True True2
True False True2 False False True True2
False False False True True True True2
True False False False False True True
True False True2 False False True True2
False False False True False False True2
False False False True False True True
False False False True False True True
True True False False False True True2
False False True2 False True True True2
True False True True False True True2
False False True True False False True
False True False True True True True
True False False False True True True2
True False True False False True True
False False False True True True True
True False False False False False True3
True True True False False True True2
True False True2 False False True True2
False False False True True True True2
False False False False False True True2
False False True True False True True
True False True False False False True2
False False True True False False True3
True True True2 True False False True2
False False True False False True True3
False True True2 False False True True2
False False False True False True True
False False False False False True True3
False False False False False False True3
True False False True True False True
False False True2 True False True True
True False True2 True False False True2
False False True False False True True2
False True False False False True True2
False False True True True True True2
False False True2 False True True True2
False True False False False True True
False False False False True False True
False True True2 False False True True2
False False True2 True False True True2
False False False True False False True
False False False False True True True2
True True False False True True True2
False True False False False True True
False False False True False True True3
True True True False True False True2
False False False False True True True
True True False False False True True2
False False True False True True True2
False False False False False True True2
False False True False False True True3
False False True2 False False True True2
False False False True True True True3
True True False False True False True2
True False False False False False True
False False False True False False True2
True False False True False True True
True False True True False True True2
True True True True True True True2
True False True True False False True2
False False False False False True True
False True True2 True True True True2
True False False True False True True2
False False True True False False True3
False False False False False False True3
False False False False False False True2
False False False False False True True2
True False False True False True True3
False True False False True True True
False False True True False True True3
False True False False True True True
True False True True False False True2
True False False False False True True2
True True True2 False False False True3
False False False False True True True
False True False True False False True2
True False True2 True True True True2
False False True True False True True2
False False False True False True True2
False False True True True True True2
False False True2 True False False True3
False False True2 False False True True2
False False True True False True True2
True False True2 False False False True3
False False False False False True True2
True False True False True True True3
True False True False True True True2
False True True False False True True2
True True False False False True True
False True False True True True True2
False False False True True True True2
False False True True True True True
False False False False False True True
False False True2 True False True True2
True False True False False False True3
False False False False False True True2
True False False False True True True
False True True2 False False True True2
False False True2 False True True True2
True False True2 True True True True2
False False True True False True True2
False False True2 True False True True3
False False False True False False True3
False False True2 True False True True
True False False False True False True2
False True True True False False True2
False False False False False True True2
False True True True False False True2
False True True2 False True False True
True False False True False True True
False True False False False True True
False False True2 True True True True2
False True False True False True True
False True True2 False False True True2
False False True True False False True3
False False True False False True True2
False False True2 False False False True3
False False False True False True True
False False False False False False True3
False True True2 False True False True2
False False False True False True True3
False True False True True True True
False False True2 True True False True2
False False False True False True True3
True False False True False False True
True True True2 False False True True2
True False True False True True True2
False True True2 False False True True2
False False True2 False False True True2
True False True2 False False True True2
True False True True False True True3
False False False True True True True
True False True2 True False False True3
False False True True True True True2
False True True2 False False False True3
True False True2 True False True True2
True False False False False True True3
True False True2 True True True True2
False False True True False True True2
False True True2 False False True True2
True False True2 False False True True2
False False True True False True True2
False False False True False False True2
True False False True True True True2
True False True False False True True2
False False True2 False False True True
False False True2 True False False True3
False False True2 True False False True2
False False True2 False False True True2
False True True True True False True3
False True False False False False True3
False False False True True False True2
True True False True False True True2
False False False True False True True2
False False True False False False True3
False False True True False False True2
True False False True False True True2
False False False False False True True
True False True True False True True2
False False True2 True True True True2
True False True2 True False False True2
False False True True True False True2
False False True True True True True2
False False False False False False True2
False True False False False True True
False True True2 True False True True2
True False False False False True True
True True True False False False True3
False False True True True True True3
False True True False True True True2
False False False True True False True
False False True False False True True2
True False False True True True True2
False False False False True True True
True False True2 False False True True2
False True False True False False True3
True False False True False True True2
True True False True False False True
True False True2 True False True True2
True False False True True True True
True False True False False True True2
False True True2 True False True True2
True False True True False True True
False True False False False False True
False True True False True False True3
True True False False False True True
True False False True True True True
False True True False True False True2
False False True True False True True2
False False False True False True True
False False True2 False False True True2
False False True2 False False False True3
False True False False True True True
False False False True False False True
True True False True True False True2
False False True2 True True True True2
False False False False False True True2
True True True2 True False True True2
False False True2 True False True True2
True False True2 False False False True3
True True False False True True True
True False False True False True True
False False True True False True True2
True False True2 False True False True2
False False False True False True True2
True True False False True False True2
False True False True False True True2
True True True True False True True2
False False True True False False True2
True True True2 False True False True2
False True False True True False True2
False False False True True True True2
True True True2 False False True True
False False True2 False False True True3
True True True True False True True2
True False False True False True True
True False True True False True True2
False False True False True True True
False False True2 True True True True2
False False False True True True True2
False True True2 False False False True2
False False True2 True False True True2
False False True2 False False False True2
True False True False False True True2
True False True False True True True2
True False False True False True True2
False False True2 True False False True3
False False True False False True True2
False False False True False False True2
False False True2 False False True True2
True True False True True True True2
True True False True False True True2
True False True True False True True2
False True False False False False True2
True False True True False True True2
True False True2 False False True True2
False False True2 False False True True3
False False True2 True True True True2
False False False True False True True2
False False True2 True False True True2
False False False False False True True2
True False True2 True False False True3
False False False True True False True2
False False False False False True True
False False False False False False True2
False False True2 True False True True2
True False False True False True True2
False False True2 True False True True2
False False False False False True True2
False False True True True True True2
False False False True False True True2
True False True False False True True2
False False True True False True True2
False False True True False True True2
False False True False False True True2
False True False False True False True2
False False False True False True True2
True True True2 False False True True2
True True False False True True True2
False False False False False True True2
False True False True False False True2
False False True True False False True3
False False True2 False True True True2
False True False False False True True
False False True True False True True
True True True2 False True True True2
False False True True False False True3
True False False True False True True2
True False True2 False False True True3
False False False False False False True
True False False False False True True2
False False True2 True False True True3
True False True True True False True2
True True True2 True True False True2
False False True False False True True2
False False True False False False True3
True True True True False False True2
False True False False True True True2
False False True False False False True3
False True False True True True True
False False True2 False True True True2
False True True2 True False True True2
False False True2 True False True True2
False True True2 False False True True3
False True True2 False False True True2
False False True True False True True2
True False True2 False False True True2
False False False True False True True2
False False True2 False False True True
True False True False False False True2
True True False True True True True2
True True True True False True True2
False False True2 True False False True3
False False True2 False True True True2
False True False True False False True3
True False True True False False True3
True False True False True True True2
False False False True False True True2
False True False True True True True
False True True True True False True2
False True True2 True False True True2
False False True2 True False False True3
True False False True True True True
False False False False False False True
True True False True True True True2
False False True2 True False False True3
True False False True False True True
False True True False False False True3
False False False False False True True2
True False False False True False True
False False False True False True True
False True True2 False False False True3
False False False True False True True
True False True2 False False True True2
False True True2 True False True True2
True False True2 True False False True
False False True False True False True2
False False True2 True True False True2
False False True2 False True False True
True False True2 False True False True2
True False True2 True True True True2
False False True True False False True2
True False False False True False True
True False True2 False False False True
True False False False False True True2
True False True2 False True True True2
True False True2 False False True True2
False False False True False True True
False False False False False True True
False False True True True True True2
False False False True True False True
False False True False False True True3
True False False True False True True2
False True False False True True True2
True False True2 False False True True
False False True True False True True2
True False True2 False False True True2
False True True True True True True
False False True2 True True False True3
True False True False False False True
False False True2 True True False True2
True True False False True False True3
False False True False False True True2
False False True False True False True2
True False True False False False True3
False True False False False True True2
False False True2 True False False True3
False False True False False True True2
False False False False False False True2
False True True2 False False True True2
False False True False False False True2
True False True True False True True2
False False True True False True True2
True False False True True False True2
True False True True False True True
False False False True False True True2
True True False False True True True2
False True False False False True True2
False False False False False True True2
True False False True True True True2
True False False True False True True
False False False False False True True
False False False True False True True2
False False True True False True True3
False False False False True False True2
False False True2 True True True True2
False False False False False True True
False False False True True True True
True True False False True True True2
True True False False True True True2
False False True2 False True False True2
True True False False True True True2
False False False True False True True2
True False False True False True True
True False True False False True True2
True False True False True True True2
True False True False False False True3
False False False False True False True
False False True2 True False True True2
